Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU),Aphelion Distance (miles),Perihelion Distance (miles)
(2000 DQ110),5.478495828286787,0.6296938680411539,58.27599529285488,47,0,"2,251.3",1.244847660600221,509258002.3603036,115715819.22303143
(1997 EN23),5.3097982015187135,0.6361058224019879,6.9543352397782385,12,8,"2,135.5",1.180977796971813,493576578.2790336,109778744.48903468
(1999 SE10),5.20690009903227,0.6190077103947038,6.882744356260289,11,6,"2,106.7",1.225311515034547,484011602.0955437,113899821.04097086
(1998 DK36),0.9802476908913854,0.4160165389063018,2.0175202775843033,12,9,210.4,0.4042667748061776,91119715.43432839,37578944.40577085
(2003 AC1),5.205661022811787,0.6503426879850249,23.42514033860667,16,6,"2,046.2",1.102920898640666,483896422.7651959,102522902.4914344
(2000 KE41),5.591783101835544,0.8667102538580824,50.32856642994354,11,6,"1,893.7",0.39927318585404203,519788712.32678837,37114761.31353542
(1999 VX15),4.804128019619092,0.6042009608181751,12.372541057420982,11,6,"1,892.9",1.1853061435033259,446571598.30665636,110181089.43502887
(2002 KG4),4.8762746127266885,0.6633842496723436,27.63804733086585,16,7,"1,833.3",0.9868019598538512,453278043.11097157,91728972.79681894
(2000 WL107),4.812601997513788,0.6479799308358349,4.880591808579621,16,7,"1,822.8",1.028005533517122,447359303.76267165,95559084.24922188
(2001 UZ4),4.503861649660206,0.5532887399808131,24.03028713382053,8,8,"1,803.4",1.295268330147463,418660095.4901871,120402713.2640418
(2002 XE84),4.840375787599371,0.67233162886428,29.10475629610539,7,9,"1,798.6",0.9483992424903068,449941038.8411086,88159217.20281282
(1998 QH28),4.512340054985012,0.5877303969402687,13.52954788222486,11,9,"1,750.0",1.171672877790966,419448212.5015423,108913798.21496879
(1997 UZ10),4.539983851300455,0.6113370739495506,12.676382831730301,13,8,"1,727.4",1.0950678392468172,422017863.90413547,101792915.01591615
(1999 RU2),4.380689854451741,0.5598443309708224,5.4499861324146535,12,6,"1,719.1",1.2361396809997471,407210561.8333163,114906361.94955234
(1995 DV1),4.58122325569529,0.6518370137542245,3.500205176129294,12,9,"1,687.0",0.9655991215116256,425851306.0311161,89758045.84223789
(2002 XU66),4.232325469399553,0.5391520841521621,24.4551331180604,18,0,"1,665.5",1.2672291398915991,393419230.6502242,117796307.698526
(2001 UC5),4.463473026817568,0.6272210772330418,30.451150357668553,12,9,"1,659.3",1.022533870791384,414905738.4492039,95050461.42342517
(1994 US),4.296351145061369,0.5700163716259932,8.493338420519143,12,8,"1,653.5",1.176650567158787,399370789.0175692,109376503.34850895
(2003 GS22),4.315373500413932,0.5775108292180334,2.4118717115010684,8,8,"1,652.6",1.155743934073725,401139027.415601,107433110.39272605
(2001 UQ16),4.225293686946377,0.5506528671975621,30.80574155972669,9,9,"1,642.9",1.224402729741124,392765585.6357209,113815344.17038286
(1998 QA105),4.1386592164850065,0.5334539879601008,8.321368284426498,12,6,"1,619.5",1.259167192366709,384712408.4963131,117046902.85815705
(1999 BL33),4.1216525927337795,0.5329537395980238,10.013436788141119,11,8,"1,610.3",1.25574724167293,383131544.05652916,116728998.5805829
(1998 WA2),4.286750978889741,0.5964216847648524,22.293679492215762,12,9,"1,607.2",1.083698470399925,398478397.82113034,100736066.15656851
(2002 RA126),4.329125332070297,0.613234047011065,3.146371742738433,12,9,"1,605.7",1.0378892559135429,402417340.02870125,96477833.64344366
(1999 EO3),4.280159471834425,0.603351276144181,23.75848891918933,11,8,"1,593.1",1.058857043782247,397865678.9616576,98426911.29150862
385580 (2004 XO14),4.150993610046879,0.5550438432071698,25.932024572722376,109,0,"1,593.0",1.187754397836607,385858962.0070802,110408668.8929887
(1998 KO3),4.724412937365497,0.77562632969559,54.80881592437147,11,9,"1,585.2",0.5969915252225764,439161618.48393786,55493829.16221965
(2001 GL2),4.368985949960332,0.6423976595906526,35.09865047228798,11,9,"1,584.7",0.95126755192209,406122615.94307107,88425843.22155306
305090 (2007 VQ4),3.993254373901149,0.5156059622942213,26.62452842157099,129,0,"1,562.1",1.2762608869868879,371196183.97252333,118635861.04085438
(2000 EC14),4.041028313563887,0.5353374178820814,11.44746201474797,12,8,"1,559.7",1.2229980385565171,375637049.1004859,113684769.96734843
452421 (2002 VX99),3.9795370445731932,0.5121616086785697,24.497841561683828,33,0,"1,559.4",1.283838274220656,369921078.55121326,119340223.18818961
(1994 TA2),4.016572165743225,0.5264240657065427,7.016850002079619,12,7,"1,559.1",1.2461490609219958,373363708.1370279,115836791.94052738
(2001 UO27),3.993026419864061,0.5197533322392897,40.36316043919571,11,7,"1,555.6",1.261808473612385,371174994.32098466,117292425.28858396
(1998 US18),4.410747993107456,0.680679806144761,9.662824458649293,12,8,"1,552.9",0.8380185797772157,410004640.3771829,77898693.59298584
(2002 SQ41),4.690511497522245,0.8001200976027699,25.12901102506823,17,7,"1,536.3",0.5208202394753314,436010282.77559036,48413265.804560155
(1999 VQ6),3.9173779059783054,0.5084435294583641,27.61829519626948,17,1,"1,528.6",1.276555880041402,364143025.64372957,118663282.35837668
(1997 TC25),4.2089340173033705,0.6236189551183976,0.250869666596131,13,8,"1,524.5",0.9756987489437398,391244859.3373352,90696864.86334686
(1999 UZ5),4.644424364894748,0.7944884448959035,10.355721197041609,12,9,"1,520.8",0.5318969183154835,431726216.1573024,49442907.42805054
(1999 RZ31),4.139866187903261,0.6014985498875763,2.9690631113037904,11,8,"1,518.1",1.030124366498272,384824603.49885243,95756042.07946138
(2002 VQ14),3.912416625679305,0.5135221896360801,7.302480724445489,7,6,"1,518.0",1.257532850410013,363681845.8284282,116894981.2822122
(1998 WR5),3.9056640252856867,0.5141372428607344,28.258772645708426,11,7,"1,513.2",1.2532659775276942,363054152.40764725,116498350.66890489
