Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU)
(1999 SE10),5.20690009903227,0.6190077103947038,6.882744356260289,11,6,2106.6574290095127,1.225311515034547
(1998 DK36),0.9802476908913854,0.4160165389063018,2.0175202775843033,12,9,210.3776889314703,0.4042667748061776
(2003 AC1),5.205661022811787,0.6503426879850249,23.42514033860667,16,6,2046.2140104502741,1.102920898640666
(2000 KE41),5.591783101835544,0.8667102538580824,50.32856642994354,11,6,1893.68846281999,0.39927318585404203
(1999 VX15),4.804128019619092,0.6042009608181751,12.372541057420982,11,6,1892.919418808479,1.1853061435033259
(2002 KG4),4.8762746127266885,0.6633842496723436,27.63804733086585,16,7,1833.334801749769,0.9868019598538512
(2000 WL107),4.812601997513788,0.6479799308358349,4.880591808579621,16,7,1822.806084305749,1.028005533517122
(2001 UZ4),4.503861649660206,0.5532887399808131,24.03028713382053,8,8,1803.4233891024148,1.295268330147463
(2002 XE84),4.840375787599371,0.67233162886428,29.10475629610539,7,9,1798.5952459556352,0.9483992424903068
(1998 QH28),4.512340054985012,0.5877303969402687,13.52954788222486,11,9,1749.991823273316,1.171672877790966
(1997 UZ10),4.539983851300455,0.6113370739495506,12.676382831730301,13,8,1727.429331869488,1.0950678392468172
(1999 RU2),4.380689854451741,0.5598443309708224,5.4499861324146535,12,6,1719.057086354672,1.2361396809997471
(1995 DV1),4.58122325569529,0.6518370137542245,3.500205176129294,12,9,1687.018409271568,0.9655991215116256
(2002 XU66),4.232325469399553,0.5391520841521621,24.4551331180604,18,0,1665.500286154058,1.2672291398915991
(2001 UC5),4.463473026817568,0.6272210772330418,30.451150357668553,12,9,1659.349838272987,1.022533870791384
(1994 US),4.296351145061369,0.5700163716259932,8.493338420519143,12,8,1653.4528284579928,1.176650567158787
(2003 GS22),4.315373500413932,0.5775108292180334,2.4118717115010684,8,8,1652.599011028306,1.155743934073725
(2001 UQ16),4.225293686946377,0.5506528671975621,30.80574155972669,9,9,1642.9029078267708,1.224402729741124
(1998 QA105),4.1386592164850065,0.5334539879601008,8.321368284426498,12,6,1619.5031759692652,1.259167192366709
(1999 BL33),4.1216525927337795,0.5329537395980238,10.013436788141119,11,8,1610.3190386295,1.25574724167293
(1998 WA2),4.286750978889741,0.5964216847648524,22.293679492215762,12,9,1607.1979985903658,1.083698470399925
(2002 RA126),4.329125332070297,0.613234047011065,3.146371742738433,12,9,1605.656334489639,1.0378892559135429
(1999 EO3),4.280159471834425,0.603351276144181,23.75848891918933,11,8,1593.1084083703008,1.058857043782247
385580 (2004 XO14),4.150993610046879,0.5550438432071698,25.932024572722376,109,0,1592.988229902615,1.187754397836607
(1998 KO3),4.724412937365497,0.77562632969559,54.80881592437147,11,9,1585.232025713093,0.5969915252225764
(2001 GL2),4.368985949960332,0.6423976595906526,35.09865047228798,11,9,1584.717751392295,0.95126755192209
305090 (2007 VQ4),3.993254373901149,0.5156059622942213,26.62452842157099,129,0,1562.102161266296,1.2762608869868879
(2000 EC14),4.041028313563887,0.5353374178820814,11.44746201474797,12,8,1559.6620877590399,1.2229980385565171
452421 (2002 VX99),3.9795370445731932,0.5121616086785697,24.497841561683828,33,0,1559.372757728991,1.283838274220656
(1994 TA2),4.016572165743225,0.5264240657065427,7.016850002079619,12,7,1559.082086336006,1.2461490609219958
(2001 UO27),3.993026419864061,0.5197533322392897,40.36316043919571,11,7,1555.578908173058,1.261808473612385
(1998 US18),4.410747993107456,0.680679806144761,9.662824458649293,12,8,1552.8850959275303,0.8380185797772157
(2002 SQ41),4.690511497522245,0.8001200976027699,25.12901102506823,17,7,1536.301707258922,0.5208202394753314
(1999 VQ6),3.9173779059783054,0.5084435294583641,27.61829519626948,17,1,1528.6147524065289,1.276555880041402
(1997 TC25),4.2089340173033705,0.6236189551183976,0.250869666596131,13,8,1524.510548447483,0.9756987489437398
(1999 UZ5),4.644424364894748,0.7944884448959035,10.355721197041609,12,9,1520.846104528295,0.5318969183154835
(1999 RZ31),4.139866187903261,0.6014985498875763,2.9690631113037904,11,8,1518.056926857779,1.030124366498272
(2002 VQ14),3.912416625679305,0.5135221896360801,7.302480724445489,7,6,1518.038834244686,1.257532850410013
(1998 WR5),3.9056640252856867,0.5141372428607344,28.258772645708426,11,7,1513.1879924031161,1.2532659775276942
(1999 JO6),3.8596873133598573,0.4965744861103633,27.864973098448896,19,1,1512.791602034132,1.298341704482464
189058 (2000 UT16),3.8841814813480915,0.5114188802005835,26.23314263037786,129,0,1504.771067543074,1.255600126822125
(1996 KE),3.944020856556562,0.5348125262370662,24.246217157601553,12,6,1504.610986645593,1.195396224207308
(1999 TU16),3.8666864065797872,0.504742125935646,18.81204278714736,11,8,1504.5746324271038,1.272647888557977
(2002 RB182),4.229140749774657,0.6522871352656534,0.2282811695944311,9,9,1495.7132928182752,0.8899946105508341
153306 (2001 JL1),3.888848924119862,0.5227955371259507,26.98032572040052,107,0,1490.622394245675,1.2186639747680401
453100 (2007 WU4),3.848597864409401,0.5073444275910929,29.22052374987857,31,0,1490.161981388473,1.2578632654597641
(2000 WT28),4.1069479787652865,0.6105237338400407,5.6534300241150275,11,7,1487.3957482183578,0.9931916745298744
(2002 YR5),3.998363952199198,0.5684298763077473,22.85505547435465,10,9,1486.703118251284,1.1001922696597948
(2002 BM),4.0996993387967064,0.6082566080652131,11.885335198506189,8,9,1486.597581374715,0.998615592088338
